date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:16	20701/20701	---MCZ	200	added ('OK')	text/html	etag:W/%22291ff0d68aa1018ec48fbf155a285d61%22	https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825	C:/Users/Section1/Desktop/tempp/preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151a3c9.html	(from )
09:45:16	0/0	---M--	200	added ('OK')	text/plain	etag:%225c89de16-0%22	https://preview.themeforest.net/robots.txt		(from )
09:45:17	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2014%20Mar%202019%2006:45:21%20GMT	http://s3.envato.com/	C:/Users/Section1/Desktop/tempp/s3.envato.com/index.html	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:18	190072/190072	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202019%2022:52:38%20GMT	https://public-assets.envato-static.com/assets/market/core/index-a38bf5e5a69c279f522d3b417e7542e5d1cbc7d653efb7fd9d63ac4036312ac6.css	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/assets/market/core/index-a38bf5e5a69c279f522d3b417e7542e5d1cbc7d653efb7fd9d63ac4036312ac6.css	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:19	1977/1977	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2023:02:01%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:20	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:20	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:20	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:20	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:22	132914/132914	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Mar%202019%2022:52:56%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-212bf71ee40bef81ab31322c82c7357847ede126dcc76b32e47da0b7dba8911f.js	C:/Users/Section1/Desktop/tempp/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-212bf71ee40bef81ab31322c82c7357847ede126dcc76b32e47da0b7dba8911f.js	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
09:45:23	148840/148840	---MCZ	200	added ('OK')	text/html	etag:W/%22bc4f4207c3aa2efb4e46951c060102dc%22	https://themeforest.net/item/directory-listing-html-website-template-listeed/22035151	C:/Users/Section1/Desktop/tempp/themeforest.net/item/directory-listing-html-website-template-listeed/22035151.html	(from https://preview.themeforest.net/item/directory-listing-html-website-template-listeed/full_screen_preview/22035151?_ga=2.7987700.750713614.1552545558-426378331.1548329825)
